year,temp_mean_K,,wind_speed_mean_ms,precip_total_mm,population,built_up_area_m2,pop_exposed_flood_10yr,co2_emissions_ton,ghg_emissions_ton,nox_emissions_ton,pm25_emissions_ton,gdp_ppp,hdi
1990,299.8075582191781,,2.5436120024239743,1480.318443886839,5365642.813,105491828,3962.77,2000996.631,9156642.605,15311.82538,16705.1051,15074750.53,0.624
1991,300.6436757990868,,2.509252094315593,859.0094812748567,5488332.744,110161848.2,4405.78,2048829.5584370599,9320845.794,15707.71682930991,16966.977030618298,15879888.02,0.6234
1992,300.5409357923497,,2.373939058842363,1070.2664026379418,5611022.674,114831868.4,4848.79,2096662.4860797198,9485048.983860001,16103.60827621992,17228.848961618598,16685025.52,0.6228
1993,300.29064497716894,,2.426146149512827,1208.7552731638955,5733712.605,119501888.6,5291.799999999999,2144495.414,9649252.173390001,16499.49972312993,17490.720892618898,17490163.012000002,0.6222
1994,300.1027511415525,,2.5206908210865637,1352.577184787076,5856402.535,124171908.8,5734.8099999999995,2192328.341,9813455.362920001,16895.39117003994,17752.592823619198,18295300.51,0.6216
1995,300.1315582191781,,2.3022522422312286,1784.6023079755971,5979092.466,128841929,6177.82,2240161.269,9977658.552450001,17291.28261694995,18014.464754619497,19100438,0.621
1996,300.81354166666665,,2.376970509158157,847.9106673994258,6089202.943,134742239,6776.218,2287994.197,10141861.74,17687.17406385996,18276.33669,20456351.41,0.6204
1997,300.10108789954336,,2.395441596908613,1021.9742814090158,6199313.421,140642549,7374.616,2335827.124,10306064.93,18083.065510769968,18538.20862,21812264.81,0.6198
1998,300.3611997716895,,2.3021126828755327,1009.9167965710141,6309423.898,146542859,7973.013999999999,2383660.052,10470268.12,18478.95695767998,18800.08055,23168178.218000002,0.6192
1999,300.1823778538813,,2.512467381024787,1079.6677175189848,6419534.376,152443169,8571.412,2431492.98,10634471.31,18874.84840458999,19061.95248,24524091.62,0.6186
2000,300.3415539617486,,2.387054313014123,1145.8908302471707,6529644.853,158343479,9169.81,2479325.907,10798674.5,19270.73985,19323.82441,25880005.03,0.618
2001,300.5741038812785,,2.419556426970958,870.3092343,6646668.046,161699463.6,9605.264,2587289.489,11008614.234339999,19532.07871,19684.89655,28496394.67,0.6236
2002,300.8923127853881,,2.598396013578966,969.4324666,6763691.239,165055448.2,10040.717999999999,2695253.071,11218553.97,19793.417561899998,20045.968699535002,31112784.31,0.6292
2003,300.4785011415525,,2.4884371153507923,1030.322511,6880714.432,168411432.8,10476.171999999999,2803216.653,11428493.7,20054.75642,20407.04084,33729173.95,0.6348
2004,300.45715619307833,,2.450999438369156,820.5440969,6997737.625,171767417.4,10911.626,2911180.236,11638433.44,20316.09527,20768.11299,36345563.589999996,0.6404
2005,300.27656278538814,,2.3798535178079976,1077.9087881638002,7114760.818,175123402,11347.08,3019143.818,11848373.17,20577.43413,21129.18513,38961953.23,0.646
2006,300.52527397260275,,2.3641421846376836,1049.375369,7236498.819,179316274.4,11834.288,3407338.338,12563447.48,22516.98075,22362.233285332382,43182320.37,0.643
2007,300.7249303652968,,2.3398635119295177,1031.0630983291999,7358236.819,183509146.8,12321.496000000001,3795532.858,13278521.78,24456.52736,23595.28143625876,47402687.51,0.64
2008,300.6031158925319,,2.2972877200524926,1229.6838488457697,7479974.819800001,187702019.2,12808.704000000002,4183727.3778576003,13993596.08,26396.073981319998,24828.32958718514,51623054.65,0.637
2009,301.36548744292236,,2.3545124847556873,1016.7227011306102,7601712.820400001,191894891.6,13295.912,4571921.898,14708670.39,28335.6206,26061.37773811152,55843421.79,0.634
2010,301.3808881278539,,2.324135238859697,1592.236466,7723450.821,196087764,13783.12,4960116.418,15423744.69,30275.16722,27294.42589,60063788.93,0.631
2011,300.74659360730595,,2.304222448315289,777.4065325720655,7850788.544,200370936.6,14279.550000000001,5041469.301914198,15404825.84,30575.01696,27504.79656077792,70053061.3,0.6356
2012,301.0058709016393,,2.435204318,999.9800296,7978126.266,204654109.2,14775.980000000001,5122822.185848396,15385906.980999999,30874.866704559998,27715.16723251794,80042333.68,0.6402
2013,300.2700730593607,,2.5291447894431043,1950.4443551904687,8105463.989,208937281.8,15272.41,5204175.069782594,15366988.13,31174.71645,27925.53790425796,90031606.05,0.6448
2014,300.62525570776256,,2.338643918927767,990.4143253490521,8232801.711,213220454.4,15768.84,5285527.953716792,15348069.27,31474.56619,28135.90857599798,100020878.4,0.6494
2015,300.94325000000003,,2.207114542144311,1153.1963926503036,8360139.434,217503627,16265.27,5366880.838,15329150.42,31774.41594,28346.27925,110010150.8,0.654
2016,301.2732422586521,,2.4266047919635043,1281.573188925829,8360139.434,217503627,16265.27,5366880.838,15329150.42,31774.41594,28346.27925,110010150.8,0.654
2017,301.2449269406393,,2.258708459508983,860.1279298,8360139.434,217503627,16265.27,5366880.838,15329150.42,31774.41594,28346.27925,110010150.8,0.654
2018,301.2055342465753,,2.4553767446589516,1033.1929675841848,8360139.434,217503627,16265.27,5366880.838,15329150.42,31774.41594,28346.27925,110010150.8,0.654
