year,temp_mean_K,wind_speed_mean_ms,precip_total_mm,location_code,country,population,built_up_area_m2,gdp_ppp,hdi,pop_exposed_flood_10yr,co2_emissions_ton,ghg_emissions_ton,nox_emissions_ton,pm25_emissions_ton
1990,299.8075582191781,2.5436120024239743,1480.318443886839,17.36N_78.5E,India,5365642.813,105491828.0,15074750.53,0.624,3962.77,2000996.6307944,9156642.6048,15311.8253823999,16705.105099618
1991,300.6436757990868,2.509252094315593,859.0094812748567,17.36N_78.5E,India,5488332.7436,110161848.2,15879888.024,0.6234,4405.78,2048829.55843706,9320845.79433,15707.71682930991,16966.977030618298
1992,300.5409357923497,2.373939058842363,1070.2664026379418,17.36N_78.5E,India,5611022.6742,114831868.4,16685025.518,0.6228,4848.79,2096662.48607972,9485048.98386,16103.60827621992,17228.848961618598
1993,300.29064497716894,2.426146149512827,1208.7552731638957,17.36N_78.5E,India,5733712.6048,119501888.6,17490163.012000002,0.6222,5291.799999999999,2144495.41372238,9649252.17339,16499.49972312993,17490.720892618898
1994,300.1027511415525,2.520690821086564,1352.577184787076,17.36N_78.5E,India,5856402.5354,124171908.8,18295300.506,0.6216,5734.81,2192328.34136504,9813455.36292,16895.39117003994,17752.592823619198
1996,300.81354166666665,2.376970509158157,847.9106673994258,17.36N_78.5E,India,6089202.9434,134742239.0,20456351.406,0.6204,6776.218,2287994.19665036,10141861.74198,17687.17406385996,18276.3366856198
1997,300.10108789954336,2.395441596908613,1021.9742814090158,17.36N_78.5E,India,6199313.4208,140642549.0,21812264.812,0.6198,7374.616,2335827.12429302,10306064.93151,18083.065510769968,18538.2086166201
1998,300.3611997716895,2.3021126828755327,1009.916796571014,17.36N_78.5E,India,6309423.8982,146542859.0,23168178.218,0.6192,7973.013999999999,2383660.05193568,10470268.12104,18478.95695767998,18800.0805476204
1999,300.1823778538813,2.512467381024787,1079.6677175189848,17.36N_78.5E,India,6419534.3756,152443169.0,24524091.624,0.6186,8571.412,2431492.97957834,10634471.31057,18874.84840458999,19061.9524786207
2000,300.3415539617486,2.387054313014123,1145.8908302471707,17.36N_78.5E,India,6529644.853,158343479.0,25880005.03,0.618,9169.81,2479325.907221,10798674.5001,19270.7398515,19323.824409621
2001,300.5741038812785,2.419556426970958,870.309234259673,17.36N_78.5E,India,6646668.046,161699463.6,28496394.67,0.6236,9605.264,2587289.4893116,11008614.23434,19532.0787067,19684.896554578
2002,300.8923127853881,2.598396013578966,969.43246662093,17.36N_78.5E,India,6763691.239,165055448.2,31112784.31,0.6292,10040.718,2695253.0714022,11218553.96858,19793.4175619,20045.968699535
2003,300.4785011415525,2.4884371153507923,1030.322511157,17.36N_78.5E,India,6880714.432,168411432.8,33729173.95,0.6348,10476.172,2803216.6534928,11428493.70282,20054.7564171,20407.040844492
2004,300.45715619307833,2.450999438369156,820.5440969105,17.36N_78.5E,India,6997737.625,171767417.4,36345563.59,0.6404,10911.626,2911180.2355834,11638433.43706,20316.0952723,20768.112989449
2005,300.27656278538814,2.3798535178079976,1077.9087881638002,17.36N_78.5E,India,7114760.818,175123402.0,38961953.23,0.646,11347.08,3019143.817674,11848373.1713,20577.4341275,21129.185134406
2006,300.52527397260275,2.364142184637684,1049.37536908775,17.36N_78.5E,India,7236498.8186,179316274.4,43182320.37,0.643,11834.288,3407338.3377352,12563447.47524,22516.98074544,22362.233285332382
2007,300.7249303652968,2.3398635119295177,1031.0630983292,17.36N_78.5E,India,7358236.8192,183509146.8,47402687.51,0.64,12321.496,3795532.8577964,13278521.77918,24456.52736338,23595.28143625876
2008,300.6031158925319,2.2972877200524926,1229.6838488457695,17.36N_78.5E,India,7479974.819800001,187702019.2,51623054.65,0.637,12808.704000000002,4183727.3778576,13993596.08312,26396.07398132,24828.32958718514
2009,301.3654874429224,2.3545124847556878,1016.7227011306102,17.36N_78.5E,India,7601712.820400001,191894891.6,55843421.79,0.634,13295.912,4571921.8979188,14708670.38706,28335.62059926,26061.37773811152
2011,300.74659360730595,2.304222448315289,777.4065325720655,17.36N_78.5E,India,7850788.5436,200370936.6,70053061.304,0.6356,14279.55,5041469.301914198,15404825.836,30575.01696088,27504.79656077792
2012,301.0058709016393,2.43520431772747,999.980029627392,17.36N_78.5E,India,7978126.2662,204654109.2,80042333.678,0.6402,14775.98,5122822.185848396,15385906.981,30874.86670456,27715.16723251794
2014,300.62525570776256,2.338643918927767,990.414325349052,17.36N_78.5E,India,8232801.7114,213220454.4,100020878.426,0.6494,15768.84,5285527.953716792,15348069.271,31474.56619192,28135.90857599798
2015,300.94325000000003,2.207114542144311,1153.1963926503036,17.36N_78.5E,India,8360139.434,217503627.0,110010150.8,0.654,16265.27,5366880.83765099,15329150.416,31774.4159356,28346.279247738
2016,301.2732422586521,2.4266047919635043,1281.573188925829,17.36N_78.5E,India,8360139.434,217503627.0,110010150.8,0.654,16265.27,5366880.83765099,15329150.416,31774.4159356,28346.279247738
2017,301.2449269406393,2.258708459508983,860.127929820043,17.36N_78.5E,India,8360139.434,217503627.0,110010150.8,0.654,16265.27,5366880.83765099,15329150.416,31774.4159356,28346.279247738
2018,301.2055342465753,2.455376744658952,1033.1929675841848,17.36N_78.5E,India,8360139.434,217503627.0,110010150.8,0.654,16265.27,5366880.83765099,15329150.416,31774.4159356,28346.279247738
